benchmark,quantile,wave_sv_iou_mean,classical_sv_iou_mean,structured_sv_iou_mean,wave_trace_iou_mean,wave_outside_support_mean,wave_minus_classical_sv_mean,wave_minus_structured_sv_mean
p07,0.74,0.430891,0.406802,0.200840,0.546861,0.240042,0.024089,0.230051
p07,0.75,0.419714,0.406802,0.192153,0.547330,0.229823,0.012912,0.227561
p07,0.76,0.406266,0.406802,0.183367,0.554418,0.220609,-0.000537,0.222899
p07,0.77,0.394340,0.406802,0.173168,0.566919,0.203537,-0.012463,0.221172
p07,0.78,0.379940,0.406802,0.166313,0.582231,0.189347,-0.026863,0.213627
p07,0.79,0.364493,0.406802,0.156493,0.589380,0.168204,-0.042309,0.207999
p07,0.80,0.346252,0.406802,0.142484,0.559279,0.157572,-0.060551,0.203768
p10,0.74,0.570021,0.345473,0.326557,0.598669,0.160479,0.224548,0.243464
p10,0.75,0.570021,0.345473,0.326557,0.598669,0.160479,0.224548,0.243464
p10,0.76,0.570021,0.345473,0.326089,0.598669,0.160479,0.224548,0.243932
p10,0.77,0.570021,0.345473,0.323720,0.598669,0.160479,0.224548,0.246301
p10,0.78,0.570021,0.345473,0.316913,0.598669,0.160479,0.224548,0.253108
p10,0.79,0.570021,0.345473,0.308963,0.598669,0.160479,0.224548,0.261058
p10,0.80,0.570021,0.345473,0.297495,0.598669,0.160479,0.224548,0.272526
