benchmark,seed,method,config_path,artifacts_root,output_root,support_volume_iou_2010,trace_iou_with_2010_support,crossline_continuity,predicted_fraction_outside_support_volume
p07,11,best_classical_constrained,configs/sleipner_p07_11inline.yaml,runs/paper_proto_seed_sweep/seed_11,runs/paper_evidence/field_stability/p07/seed_11,0.47689441375425573,0.3849618293453227,0.9978508468318795,0.48841390248339217
p07,11,plain_ml_constrained,configs/sleipner_p07_11inline.yaml,runs/paper_proto_seed_sweep/seed_11,runs/paper_evidence/field_stability/p07/seed_11,0.2997862010523047,0.8730644774887283,0.9673276475673745,0.0010964224290527236
p07,11,plain_ml_structured_constrained,configs/sleipner_p07_11inline.yaml,runs/paper_proto_seed_sweep/seed_11,runs/paper_evidence/field_stability/p07/seed_11,0.43764652582555064,0.8791520288094228,0.9820982285405114,0.00224003445812182
p07,11,plain_ml_layered_structured_constrained,configs/sleipner_p07_11inline.yaml,runs/paper_proto_seed_sweep/seed_11,runs/paper_evidence/field_stability/p07/seed_11,0.4329436717307842,0.7210163568932622,0.7882561376262096,0.003699140886750866
p07,12,best_classical_constrained,configs/sleipner_p07_11inline.yaml,runs/paper_proto_seed_sweep/seed_12,runs/paper_evidence/field_stability/p07/seed_12,0.47689441375425573,0.3849618293453227,0.9978508468318795,0.48841390248339217
p07,12,plain_ml_constrained,configs/sleipner_p07_11inline.yaml,runs/paper_proto_seed_sweep/seed_12,runs/paper_evidence/field_stability/p07/seed_12,0.3805404254639646,0.9028685608860133,0.9544420771297717,0.002175571159274322
p07,12,plain_ml_structured_constrained,configs/sleipner_p07_11inline.yaml,runs/paper_proto_seed_sweep/seed_12,runs/paper_evidence/field_stability/p07/seed_12,0.504919860410623,0.9060263015410159,0.9698260084458029,0.003626233039119575
p07,12,plain_ml_layered_structured_constrained,configs/sleipner_p07_11inline.yaml,runs/paper_proto_seed_sweep/seed_12,runs/paper_evidence/field_stability/p07/seed_12,0.44959104784624787,0.7498677710547792,0.783359665982597,0.011201679031827338
p07,13,best_classical_constrained,configs/sleipner_p07_11inline.yaml,runs/paper_proto_seed_sweep/seed_13,runs/paper_evidence/field_stability/p07/seed_13,0.47689441375425573,0.3849618293453227,0.9978508468318795,0.48841390248339217
p07,13,plain_ml_constrained,configs/sleipner_p07_11inline.yaml,runs/paper_proto_seed_sweep/seed_13,runs/paper_evidence/field_stability/p07/seed_13,0.2321158253674509,0.8832479391353045,0.9460554590643678,0.0049734368517610665
p07,13,plain_ml_structured_constrained,configs/sleipner_p07_11inline.yaml,runs/paper_proto_seed_sweep/seed_13,runs/paper_evidence/field_stability/p07/seed_13,0.3770294014346744,0.8852010286688142,0.954914831128583,0.015623863147124384
p07,13,plain_ml_layered_structured_constrained,configs/sleipner_p07_11inline.yaml,runs/paper_proto_seed_sweep/seed_13,runs/paper_evidence/field_stability/p07/seed_13,0.44142272778568437,0.7248030304199474,0.7759384838961175,0.025960610636741637
p10,11,best_classical_constrained,configs/sleipner_p10_11inline.yaml,runs/paper_proto_seed_sweep/seed_11,runs/paper_evidence/field_stability/p10/seed_11,0.36288938294690937,0.3224803664921466,0.9867620751341682,0.6232587175269343
p10,11,plain_ml_constrained,configs/sleipner_p10_11inline.yaml,runs/paper_proto_seed_sweep/seed_11,runs/paper_evidence/field_stability/p10/seed_11,0.5618679725620536,0.9095523765574527,0.9729981154713181,0.01756582353804903
p10,11,plain_ml_structured_constrained,configs/sleipner_p10_11inline.yaml,runs/paper_proto_seed_sweep/seed_11,runs/paper_evidence/field_stability/p10/seed_11,0.6852598556479389,0.9074585635359116,0.9770992754976628,0.024557656155340335
p10,11,plain_ml_layered_structured_constrained,configs/sleipner_p10_11inline.yaml,runs/paper_proto_seed_sweep/seed_11,runs/paper_evidence/field_stability/p10/seed_11,0.47495069373272125,0.7581023954908408,0.7886368944822519,0.06950806948276012
p10,12,best_classical_constrained,configs/sleipner_p10_11inline.yaml,runs/paper_proto_seed_sweep/seed_12,runs/paper_evidence/field_stability/p10/seed_12,0.36288938294690937,0.3224803664921466,0.9867620751341682,0.6232587175269343
p10,12,plain_ml_constrained,configs/sleipner_p10_11inline.yaml,runs/paper_proto_seed_sweep/seed_12,runs/paper_evidence/field_stability/p10/seed_12,0.45796271124905363,0.9027522935779817,0.9543293066909013,0.017813903580822465
p10,12,plain_ml_structured_constrained,configs/sleipner_p10_11inline.yaml,runs/paper_proto_seed_sweep/seed_12,runs/paper_evidence/field_stability/p10/seed_12,0.5959139737703477,0.8982199908717481,0.9631470091034314,0.02600983806685575
p10,12,plain_ml_layered_structured_constrained,configs/sleipner_p10_11inline.yaml,runs/paper_proto_seed_sweep/seed_12,runs/paper_evidence/field_stability/p10/seed_12,0.46710854202430596,0.7415782187355792,0.7727843246658557,0.08946201559399158
p10,13,best_classical_constrained,configs/sleipner_p10_11inline.yaml,runs/paper_proto_seed_sweep/seed_13,runs/paper_evidence/field_stability/p10/seed_13,0.36288938294690937,0.3224803664921466,0.9867620751341682,0.6232587175269343
p10,13,plain_ml_constrained,configs/sleipner_p10_11inline.yaml,runs/paper_proto_seed_sweep/seed_13,runs/paper_evidence/field_stability/p10/seed_13,0.5588177771519319,0.5704775687409551,0.6630485790348809,0.1814593061563583
p10,13,plain_ml_structured_constrained,configs/sleipner_p10_11inline.yaml,runs/paper_proto_seed_sweep/seed_13,runs/paper_evidence/field_stability/p10/seed_13,0.6290980299329683,0.5047375160051216,0.8331224504409878,0.23817899907490647
p10,13,plain_ml_layered_structured_constrained,configs/sleipner_p10_11inline.yaml,runs/paper_proto_seed_sweep/seed_13,runs/paper_evidence/field_stability/p10/seed_13,0.2771748007830464,0.4383487235198262,0.662911672400463,0.6119677604337073
